AC voltage grade,Rated power(VA),Battery voltage,Inverter voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,PGrid,PLoad,Load percent,SInverter,SGrid,Sload,Qinverter,Qgrid,Qload,Inverter frequency,Grid frequency,Inverter max number,Combine type,Inverter number,AC radiator temperature,Transformer temperature,DC radiator temperature,Batt power,Batt current,Batt voltage grade,Rated power(W),Communication Protocal Edition,PV voltage,Battery voltage,Charger current,Charger power,Radiator temperature,External temperature,BattVol Grade,Rated Current,MachineType,SerialNumber,Hardware,Software,ProtocalEdition,WorkState,InverterRelayState,GridRelayState,LoadRelayState,NLineRelayState,DcRelayState,EarthRelayState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedBuyPower,AccumulatedSellPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvsellPower,AccumulatedGridChargerPower,Errs,ChrWorkstate,MpptState,ChargingState,BatteryRelay,PvRelay,ChrHardware,ChrSoftware,AccumulatedPvPower,Id,RecordTime,
230,3000,28.6,229.9,230.1,440.7,1.8,1.6,0,1.6,236,0,237,7,416,0,375,341,0,342,50,49.94,0,0,0,34,0,0,-64,-2,24,3000,10414,81.8,28.8,12.9,374,38,-52,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,322.5KWH,0KWH,0KWH,901.5KWH,322.5KWH,0KWH,0KWH,,Work Mode,Current limiting,Absorb charge,Connect,Connect,1.02.02,1.16.29,22.4KWH,1,03/08/2020 12:28:01 p.m.,
230,3000,27.4,230,228.1,423.9,1.2,0.9,0,0.9,92,0,95,3,290,0,227,273,0,273,50,50.04,0,0,0,38,0,0,-26,0,24,3000,10414,83.2,27.4,6.4,175,50,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,322.7KWH,0KWH,0KWH,901.7KWH,322.7KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,22.7KWH,2,03/08/2020 01:28:01 p.m.,
230,3000,27.4,230,233.2,423.7,1.2,0.8,0,0.8,91,0,90,3,278,0,212,262,0,263,50,50.01,0,0,0,39,0,0,-19,0,24,3000,10414,82.6,27.4,6.2,170,49,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,322.8KWH,0KWH,0KWH,901.8KWH,322.8KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,22.8KWH,3,03/08/2020 02:28:01 p.m.,
230,3000,27.4,230,233.7,423.3,1.3,1,0,1,91,0,93,3,307,0,245,292,0,289,50,50.02,0,0,0,41,0,0,-25,0,24,3000,10414,81.5,27.4,6.3,174,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,322.9KWH,0KWH,0KWH,901.9KWH,322.9KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,23.1KWH,4,03/08/2020 03:28:01 p.m.,
230,3000,23.5,0,235.3,378.3,0,0,2.2,2.2,0,373,368,12,0,525,523,0,369,369,50,50,0,0,0,47,0,0,-76,-3,24,3000,10414,64.7,23.7,3.2,76,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,ByPass,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,323.1KWH,0KWH,0KWH,902.1KWH,323.1KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,23.2KWH,5,03/08/2020 04:28:01 p.m.,
230,3000,26.5,0,231,431.6,0,0,2.3,2.3,0,365,365,12,0,533,528,0,388,384,49.96,49.96,0,0,0,45,0,0,-29,-1,24,3000,10414,30.7,26.6,1.1,29,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,323.1KWH,0KWH,0KWH,902.5KWH,323.1KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,23.2KWH,6,03/08/2020 05:28:01 p.m.,
230,3000,26.6,0,232.8,433,0,0,1.6,1.6,0,225,225,7,0,371,368,0,295,295,49.98,49.98,0,0,0,46,0,0,-10,0,24,3000,10414,30.7,26.6,0.4,10,43,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,323.1KWH,0KWH,0KWH,902.8KWH,323.1KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,23.2KWH,7,04/08/2020 12:21:20 a.m.,
230,3000,24.3,0,228.4,394.5,0,0,1.3,1.3,0,146,146,4,0,305,293,0,267,258,50.06,50.06,0,0,0,53,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,323.6KWH,0KWH,0KWH,903.8KWH,323.6KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,23.3KWH,8,04/08/2020 09:04:46 a.m.,
230,3000,26.4,230,226.8,408.6,2.5,2.3,0,2.3,390,0,393,13,592,0,563,441,0,442,50,50.01,0,0,0,32,0,0,75,2,24,3000,10414,75.1,26.6,15,401,43,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,324.3KWH,0KWH,0KWH,905.6KWH,324.3KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,23.6KWH,9,04/08/2020 10:04:50 a.m.,
230,3000,27.1,230,228.3,420.6,2.4,2.2,0,2.2,378,0,378,12,574,0,546,432,0,432,50,50.02,0,0,0,35,0,0,-32,-1,24,3000,10414,76.2,27.4,18.1,495,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,324.7KWH,0KWH,0KWH,906KWH,324.7KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24KWH,10,04/08/2020 11:04:50 a.m.,
230,3000,27.2,230,231.1,422.2,2.2,2,0,2,304,0,306,10,506,0,472,403,0,402,50,50.01,0,0,0,35,0,0,-21,0,24,3000,10414,79.3,27.4,14.8,403,43,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,325KWH,0KWH,0KWH,906.3KWH,325KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.5KWH,11,04/08/2020 12:04:50 p.m.,
230,3000,27.3,230,231,423.6,1.4,1.1,0,1.1,120,0,119,3,322,0,266,298,0,298,50,49.98,0,0,0,37,0,0,-31,-1,24,3000,10414,81.8,27.4,7.7,212,49,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,325.3KWH,0KWH,0KWH,906.6KWH,325.3KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,24.8KWH,12,04/08/2020 01:04:51 p.m.,
230,3000,27.2,229.9,233,423,1.3,1,0,1,120,0,121,3,299,0,238,272,0,272,50,50,0,0,0,36,0,0,-7,0,24,3000,10414,81.5,27.4,6.8,188,47,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,325.5KWH,0KWH,0KWH,906.8KWH,325.5KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,25KWH,13,04/08/2020 02:04:51 p.m.,
230,3000,27.2,230,235.3,422.9,1.3,1,0,1,119,0,119,3,301,0,241,276,0,276,50,50,0,0,0,37,0,0,-5,0,24,3000,10414,81,27.4,6.7,186,47,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,325.6KWH,0KWH,0KWH,906.9KWH,325.6KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,25.3KWH,14,04/08/2020 03:04:51 p.m.,
230,3000,25.6,230,232.1,395.5,1.7,1.5,0,1.5,182,0,184,5,391,0,347,344,0,344,50,50.03,0,0,0,42,0,0,223,8,24,3000,10414,29.8,25.7,1,26,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,325.8KWH,0KWH,0KWH,907.1KWH,325.8KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,25.4KWH,15,04/08/2020 04:04:51 p.m.,
230,3000,26.5,0,232.4,432.1,0,0,2,2,0,306,305,10,0,476,471,0,363,359,49.97,49.97,0,0,0,44,0,0,-10,0,24,3000,10414,30.7,26.6,0.4,10,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,325.8KWH,0KWH,0KWH,907.4KWH,325.8KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,25.5KWH,16,04/08/2020 05:04:51 p.m.,
230,3000,26.6,0,236,434.7,0,0,2.1,2.1,0,327,326,10,0,494,492,0,370,370,50.05,50.05,0,0,0,46,0,0,0,0,24,3000,10414,30.8,26.7,0,0,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,325.8KWH,0KWH,0KWH,907.8KWH,325.8KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,25.5KWH,17,04/08/2020 06:04:51 p.m.,
230,3000,26.6,0,231.3,433.1,0,0,1.7,1.7,0,286,286,9,0,396,393,0,272,272,49.99,49.99,0,0,0,46,0,0,0,0,24,3000,10414,30.7,26.6,0,0,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,325.8KWH,0KWH,0KWH,907.9KWH,325.8KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,25.5KWH,18,05/08/2020 12:26:19 a.m.,
230,3000,23.1,229.9,232.8,357.7,1.5,1.2,0,1.2,112,0,110,3,368,0,320,350,0,350,50,50.03,0,0,0,55,0,0,172,7,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,326.2KWH,0KWH,0KWH,908.7KWH,326.2KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,25.5KWH,19,05/08/2020 08:58:32 a.m.,
230,3000,23.2,229.9,229.9,358.6,2.7,2.5,0,2.5,418,0,415,13,621,0,591,460,0,455,50,49.99,0,0,0,34,0,0,194,8,24,3000,10414,74.4,23.5,13,309,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,326.9KWH,0KWH,0KWH,910.3KWH,326.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,25.7KWH,20,05/08/2020 09:58:36 a.m.,
230,3000,26.9,230,228.9,417.4,2.2,2,0,2,314,0,315,10,514,0,481,406,0,405,50,50,0,0,0,35,0,0,-41,-1,24,3000,10414,74.5,27.3,15.9,434,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,327.2KWH,0KWH,0KWH,910.6KWH,327.2KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,26.1KWH,21,05/08/2020 10:58:36 a.m.,
230,3000,26.6,230,229.5,411.3,2.4,2.2,0,2.2,451,0,451,15,552,0,521,317,0,316,50,50.03,0,0,0,36,0,0,34,1,24,3000,10414,73.6,26.9,18.8,509,47,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,327.6KWH,0KWH,0KWH,911KWH,327.6KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,26.6KWH,22,05/08/2020 11:58:36 a.m.,
230,3000,27.1,230,227.5,422.6,1.2,0.8,0,0.8,93,0,94,3,276,0,209,258,0,258,50,50,0,0,0,36,0,0,-65,-2,24,3000,10414,80.2,27.4,8,216,34,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,327.8KWH,0KWH,0KWH,911.2KWH,327.8KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,26.9KWH,23,05/08/2020 12:58:36 p.m.,
230,3000,25.8,230.1,232.1,398.7,1.3,1,0,1,243,0,245,8,322,0,266,208,0,208,50,50.04,0,0,0,41,0,0,123,4,24,3000,10414,72.6,26,7.3,192,43,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,327.9KWH,0KWH,0KWH,911.4KWH,327.9KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,27.1KWH,24,05/08/2020 01:58:36 p.m.,
230,3000,27.2,230,232,424,1.4,1.1,0,1.1,88,0,89,2,322,0,266,308,0,308,50,50.14,0,0,0,44,0,0,-49,-1,24,3000,10414,78.2,27.4,7.1,196,45,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,328KWH,0KWH,0KWH,911.5KWH,328KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,27.3KWH,25,05/08/2020 02:58:36 p.m.,
230,3000,25.5,230.1,232.2,395.3,1.5,1.2,0,1.2,257,0,259,8,347,0,297,231,0,231,50,50,0,0,0,46,0,0,205,8,24,3000,10414,71.7,25.6,4.9,126,45,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,328.1KWH,0KWH,0KWH,911.6KWH,328.1KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,27.5KWH,26,05/08/2020 03:58:36 p.m.,
230,3000,26.5,0,225.9,431.5,0,0,2.4,2.4,0,399,399,13,0,555,551,0,386,382,50.04,50.04,0,0,0,41,0,0,-31,-1,24,3000,10414,30.8,26.6,1.2,31,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,328.2KWH,0KWH,0KWH,912KWH,328.2KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,27.6KWH,27,05/08/2020 04:58:37 p.m.,
230,3000,26.6,0,228.5,432.8,0,0,2.7,2.7,0,511,507,17,0,639,634,0,383,378,49.98,49.98,0,0,0,45,0,0,-10,0,24,3000,10414,30.7,26.6,0,10,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,328.2KWH,0KWH,0KWH,912.4KWH,328.2KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,27.6KWH,28,05/08/2020 05:58:37 p.m.,
230,3000,26.5,0,227.3,432.3,0,0,1.3,1.3,0,133,133,4,0,297,294,0,265,265,50.08,50.08,0,0,0,47,0,0,0,0,24,3000,10414,30.6,26.6,0,0,44,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,328.2KWH,0KWH,0KWH,912.6KWH,328.2KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,27.6KWH,29,06/08/2020 12:21:18 a.m.,
230,3000,27.4,0,231.4,445.9,0,0,1.4,1.3,0,117,117,3,0,321,318,0,298,298,50.04,50.04,0,0,0,58,0,0,0,0,24,3000,10414,0,0,0,0,0,0,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,328.6KWH,0KWH,0KWH,913.4KWH,328.6KWH,0KWH,0KWH,,Initialization mode ,Stop,Stop,Disconnect,Disconnect,1.02.02,1.16.29,27.6KWH,30,06/08/2020 08:57:16 a.m.,
230,3000,25.2,230,233,392.1,2.6,2.4,0,2.4,359,0,360,12,598,0,570,476,0,476,50,50.01,0,0,0,38,0,0,276,10,24,3000,10414,73.9,25.6,6.5,169,40,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,329.1KWH,0KWH,0KWH,914.9KWH,329.1KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,27.7KWH,31,06/08/2020 09:57:19 a.m.,
230,3000,26.4,230,230.8,409.4,2.5,2.3,0,2.3,360,0,359,11,575,0,546,447,0,447,50,50.02,0,0,0,35,0,0,12,0,24,3000,10414,74.8,26.8,16.1,431,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,329.3KWH,0KWH,0KWH,915.4KWH,329.3KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,28KWH,32,06/08/2020 10:57:19 a.m.,
