AC voltage grade,Rated power(VA),Battery voltage,Inverter voltage,Grid voltage,BUS voltage,Control current,Inverter current,Grid current,Battery voltage,PInverter,PGrid,PLoad,Load percent,SInverter,SGrid,Sload,Qinverter,Qgrid,Qload,Inverter frequency,Grid frequency,Inverter max number,Combine type,Inverter number,AC radiator temperature,Transformer temperature,DC radiator temperature,Batt power,Batt current,Batt voltage grade,Rated power(W),Communication Protocal Edition,PV voltage,Battery voltage,Charger current,Charger power,Radiator temperature,External temperature,BattVol Grade,Rated Current,MachineType,SerialNumber,Hardware,Software,ProtocalEdition,WorkState,InverterRelayState,GridRelayState,LoadRelayState,NLineRelayState,DcRelayState,EarthRelayState,AccumulatedChargerPower,AccumulatedDischargerPower,AccumulatedBuyPower,AccumulatedSellPower,AccumulatedLoadPower,AccumulatedSelfusePower,AccumulatedPvsellPower,AccumulatedGridChargerPower,Errs,ChrWorkstate,MpptState,ChargingState,BatteryRelay,PvRelay,ChrHardware,ChrSoftware,AccumulatedPvPower,Id,RecordTime,
230,3000,26.9,0,220.2,435.1,0,0,2.8,2.9,0,555,555,18,0,638,633,0,313,308,50.03,50.03,0,0,0,34,0,0,-39,-1,24,3000,10414,31.1,27,1.5,39,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.5KWH,0KWH,0KWH,36.2KWH,374.5KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,68.1KWH,1,01/09/2020 09:33:19 a.m.,
230,3000,27,0,226.2,437.3,0,0,2.2,2.2,0,390,389,13,0,497,495,0,307,307,49.99,49.99,0,0,0,35,0,0,-63,-2,24,3000,10414,85.8,27.4,2.3,63,38,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.6KWH,0KWH,0KWH,36.7KWH,374.6KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.1KWH,2,01/09/2020 10:33:19 a.m.,
230,3000,27.1,0,224.4,433.3,0,0,1.8,1.8,0,318,319,10,0,403,401,0,247,247,50,50,0,0,0,32,0,0,-48,-1,24,3000,10414,86.2,27.4,1.7,48,35,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.6KWH,0KWH,0KWH,37KWH,374.6KWH,0KWH,0KWH,,Work Mode,Current limiting, Float charge,Connect,Connect,1.02.02,1.16.29,68.3KWH,3,01/09/2020 11:33:19 a.m.,
230,3000,24.2,230,222.5,374.8,2.1,1.9,0,1.9,272,0,268,8,477,0,441,393,0,393,50,50.01,0,0,0,33,0,0,88,3,24,3000,10414,74.4,24.6,10.5,259,36,-52,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,374.7KWH,0KWH,0KWH,37.4KWH,374.7KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.4KWH,4,01/09/2020 12:33:19 p.m.,
230,3000,23.5,230,226.7,363.9,1.8,1.6,0,1.6,217,0,214,7,414,0,372,353,0,353,50,50,0,0,0,35,0,0,105,4,24,3000,10414,75.2,23.7,7.6,181,47,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,OffGrid,Connect,Disconnect,Connect,Disconnect,Connect,Disconnect,0KWH,374.8KWH,0KWH,0KWH,37.7KWH,374.8KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.5KWH,5,01/09/2020 01:33:20 p.m.,
230,3000,26.6,0,227.1,432.2,0,0,1.8,1.8,0,317,317,10,0,411,409,0,259,259,50.04,50.04,0,0,0,36,0,0,-97,-3,24,3000,10414,76,26.7,3.6,97,46,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,38.1KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.6KWH,6,01/09/2020 02:33:20 p.m.,
230,3000,26.8,0,225.7,433.5,0,0,1.9,1.9,0,333,333,11,0,446,441,0,295,291,50.02,50.02,0,0,0,35,0,0,-36,-1,24,3000,10414,31,26.9,1.3,36,41,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,38.5KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.7KWH,7,01/09/2020 03:33:20 p.m.,
230,3000,26.6,0,225.1,431.8,0,0,2.8,2.8,0,553,552,18,0,634,632,0,309,309,50,50,0,0,0,36,0,0,-30,-1,24,3000,10414,30.8,26.7,1.1,30,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,39KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.7KWH,8,01/09/2020 04:33:20 p.m.,
230,3000,26.6,0,224.6,432.8,0,0,2.4,2.4,0,403,403,13,0,538,536,0,356,356,50,50,0,0,0,41,0,0,-10,0,24,3000,10414,30.7,26.6,0.3,10,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,39.4KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT, Float charge,Connect,Connect,1.02.02,1.16.29,68.7KWH,9,01/09/2020 05:33:20 p.m.,
230,3000,26.5,0,221.6,432.3,0,0,2.9,2.9,0,566,566,18,0,662,660,0,342,342,49.97,49.97,0,0,0,43,0,0,0,0,24,3000,10414,30.7,26.6,0,0,42,-54,24,80,PV1800,-1 -1,1.01.01,2.25.31,1.04.14,Grid charging,Connect,Connect,Connect,Disconnect,Connect,Disconnect,0KWH,374.9KWH,0KWH,0KWH,39.8KWH,374.9KWH,0KWH,0KWH,,Work Mode,MPPT,Absorb charge,Connect,Connect,1.02.02,1.16.29,68.7KWH,10,01/09/2020 06:33:20 p.m.,
